time/fps,train/learning_rate,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/critic_loss
8,0.001,5080,3.7979156970977783,5181,630,0.83,13.61,-12.78,192,0.13815318048000336
8,0.001,5104,3.542635917663574,5205,636,0.84,13.23,-12.39,196,0.15232188999652863
8,0.001,5137,2.717298746109009,5238,645,0.86,12.46,-11.6,200,0.17393654584884644
8,0.001,5163,3.3170714378356934,5264,650,0.87,11.74,-10.87,204,0.15405812859535217
8,0.001,5179,3.5506441593170166,5280,654,0.88,11.22,-10.34,208,0.18036065995693207
8,0.001,5200,2.8350260257720947,5301,657,0.9,10.3,-9.4,212,0.22135311365127563
8,0.001,5213,3.298449993133545,5314,659,0.91,9.63,-8.72,216,0.19569925963878632
8,0.001,5233,3.248023509979248,5334,663,0.92,9.19,-8.27,220,0.16234368085861206
8,0.001,5253,3.5784525871276855,5354,666,0.93,8.77,-7.84,224,0.21049104630947113
8,0.001,5272,3.37052583694458,5373,668,0.93,8.74,-7.81,228,0.15915748476982117
8,0.001,5293,3.411383867263794,5394,671,0.93,8.56,-7.63,232,0.13104243576526642
8,0.001,5311,3.388914108276367,5412,672,0.93,8.54,-7.61,236,0.1536283642053604
8,0.001,5327,3.1381936073303223,5428,674,0.94,7.73,-6.79,240,0.16924172639846802
8,0.001,5348,3.3241724967956543,5449,677,0.94,7.79,-6.85,244,0.1506323218345642
8,0.001,5401,3.2039706707000732,5502,685,0.96,7.26,-6.3,248,0.1658598631620407
8,0.001,5462,2.805528402328491,5563,694,0.95,7.66,-6.71,252,0.1634075939655304
8,0.001,5479,3.1728127002716064,5580,697,0.95,7.57,-6.62,256,0.13763880729675293
7,0.001,5499,3.039992570877075,5600,700,0.95,7.47,-6.52,260,0.1475137323141098
7,0.001,5518,2.5830745697021484,5619,703,0.96,7.03,-6.07,264,0.1144620031118393
7,0.001,5541,3.1011962890625,5642,706,0.97,6.65,-5.68,268,0.12207160890102386
7,0.001,5561,3.196824073791504,5662,708,0.97,6.65,-5.68,272,0.10854905098676682
7,0.001,5585,2.959075450897217,5686,712,0.97,6.72,-5.75,276,0.14608381688594818
7,0.001,5604,2.1221916675567627,5705,714,0.98,6.35,-5.37,280,0.1363065242767334
7,0.001,5628,2.8275492191314697,5729,717,0.98,6.36,-5.38,284,0.15662366151809692
7,0.001,5649,2.2011308670043945,5750,720,0.98,6.42,-5.44,288,0.1544756293296814
7,0.001,5673,2.4706952571868896,5774,724,0.99,5.93,-4.94,292,0.154160737991333
7,0.001,5691,3.02683687210083,5792,727,0.99,5.87,-4.88,296,0.1402747929096222
7,0.001,5705,2.803701877593994,5806,729,0.99,5.68,-4.69,300,0.1522894948720932
7,0.001,5727,3.0082380771636963,5828,732,0.99,5.64,-4.65,304,0.11253970116376877
7,0.001,5747,2.9223761558532715,5848,735,0.99,5.68,-4.69,308,0.12535971403121948
7,0.001,5772,2.4892868995666504,5873,739,0.99,5.72,-4.73,312,0.13708283007144928
7,0.001,5792,2.6433019638061523,5893,742,0.99,5.79,-4.8,316,0.13345134258270264
7,0.001,5815,2.628600597381592,5916,744,0.99,5.82,-4.83,320,0.16651058197021484
7,0.001,5836,2.577584743499756,5937,746,0.99,5.83,-4.84,324,0.13097462058067322
7,0.001,5852,2.7824416160583496,5953,748,0.99,5.8,-4.81,328,0.1441105604171753
7,0.001,5870,2.4570674896240234,5971,751,0.99,5.77,-4.78,332,0.14235176146030426
7,0.001,5896,2.2016654014587402,5997,754,0.99,5.85,-4.86,336,0.11957420408725739
7,0.001,5912,2.80086350440979,6013,757,0.99,5.85,-4.86,340,0.11528616398572922
7,0.001,5935,2.508002758026123,6036,760,0.99,5.87,-4.88,344,0.11925765126943588
7,0.001,5966,2.4097065925598145,6067,764,0.99,5.65,-4.66,348,0.11453626304864883
7,0.001,6033,2.55814266204834,6134,776,0.99,5.71,-4.72,352,0.11401594430208206
7,0.001,6054,2.1626455783843994,6155,780,0.99,5.75,-4.76,356,0.13816481828689575
7,0.001,6075,2.2666008472442627,6176,783,0.99,5.76,-4.77,360,0.14328861236572266
7,0.001,6098,2.670018196105957,6199,787,0.99,5.8,-4.81,364,0.11261072754859924
7,0.001,6115,2.298233985900879,6216,789,0.99,5.74,-4.75,368,0.12365487962961197
7,0.001,6138,2.631276845932007,6239,793,0.99,5.77,-4.78,372,0.10127794742584229
7,0.001,6152,2.219939947128296,6253,796,0.99,5.67,-4.68,376,0.11398449540138245
7,0.001,6178,2.0226640701293945,6279,804,0.99,5.74,-4.75,380,0.1298389434814453
7,0.001,6204,2.4800827503204346,6305,807,0.99,5.76,-4.77,384,0.10900294035673141
7,0.001,6218,2.6569156646728516,6319,809,0.99,5.69,-4.7,388,0.12606334686279297
7,0.001,6234,2.8005998134613037,6335,812,0.99,5.61,-4.62,392,0.13495032489299774
7,0.001,6254,2.59195876121521,6355,815,0.99,5.63,-4.64,396,0.10814785212278366
7,0.001,6320,2.2844879627227783,6421,829,0.98,6.15,-5.17,400,0.10845821350812912
7,0.001,6338,2.5778894424438477,6439,832,0.98,6.11,-5.13,404,0.12905055284500122
7,0.001,6355,2.217043876647949,6456,836,0.98,6.08,-5.1,408,0.09894496202468872
7,0.001,6373,2.005277395248413,6474,837,0.98,6.01,-5.03,412,0.1040937528014183
7,0.001,6394,2.3033268451690674,6495,839,0.98,6.02,-5.04,416,0.1258745789527893
7,0.001,6414,1.8868882656097412,6515,842,0.98,5.99,-5.01,420,0.12432719022035599
7,0.001,6436,2.036409854888916,6537,845,0.98,6.0,-5.02,424,0.1244526207447052
7,0.001,6458,2.718334674835205,6559,849,0.98,6.06,-5.08,428,0.11012864857912064
7,0.001,6480,2.4514074325561523,6581,853,0.98,6.1,-5.12,432,0.11938346177339554
7,0.001,6506,1.5788742303848267,6607,857,0.98,6.1,-5.12,436,0.12148748338222504
7,0.001,6523,2.223762035369873,6624,860,0.98,6.11,-5.13,440,0.1370810568332672
7,0.001,6591,2.2110812664031982,6692,870,0.97,6.56,-5.59,444,0.1031990647315979
7,0.001,6611,1.9378836154937744,6712,874,0.97,6.45,-5.48,448,0.11173184961080551
7,0.001,6626,2.6783077716827393,6727,876,0.98,5.93,-4.95,452,0.09297633916139603
7,0.001,6683,1.7145442962646484,6784,884,0.98,6.29,-5.31,456,0.10831944644451141
7,0.001,6698,2.0312321186065674,6799,888,0.98,6.23,-5.25,460,0.08827768266201019
7,0.001,6714,1.4307552576065063,6815,893,0.98,6.16,-5.18,464,0.11670888960361481
7,0.001,6730,2.183758497238159,6831,895,0.98,6.15,-5.17,468,0.08910506218671799
7,0.001,6754,1.7591471672058105,6855,902,0.98,6.16,-5.18,472,0.10320526361465454
7,0.001,6769,2.5575766563415527,6870,906,0.98,6.17,-5.19,476,0.0958874374628067
7,0.001,6789,1.8207666873931885,6890,909,0.98,6.11,-5.13,480,0.12324871122837067
7,0.001,6815,2.174386501312256,6916,913,0.98,6.11,-5.13,484,0.13636071979999542
7,0.001,6839,1.916597843170166,6940,917,0.98,6.21,-5.23,488,0.10209827125072479
7,0.001,6860,1.747622013092041,6961,920,0.98,6.26,-5.28,492,0.10835663974285126
7,0.001,6878,1.965527057647705,6979,923,0.98,6.24,-5.26,496,0.09553956985473633
7,0.001,6893,1.3005338907241821,6994,925,0.99,5.73,-4.74,500,0.09057426452636719
7,0.001,6909,1.9438204765319824,7010,933,0.99,5.71,-4.72,504,0.10575298964977264
7,0.001,6925,2.1553831100463867,7026,937,0.99,5.7,-4.71,508,0.09582255780696869
7,0.001,6950,1.8092166185379028,7051,942,0.99,5.77,-4.78,512,0.1118384301662445
7,0.001,6967,1.7769873142242432,7068,948,0.99,5.73,-4.74,516,0.11338074505329132
7,0.001,6989,1.9884852170944214,7090,952,0.99,5.75,-4.76,520,0.11634643375873566
7,0.001,7008,2.207368850708008,7109,956,0.99,5.72,-4.73,524,0.11464066803455353
7,0.001,7026,1.7055039405822754,7127,959,0.99,5.68,-4.69,528,0.09626172482967377
