train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss
7084,7185,1086,464,6,0.99,0.001,3.8186659812927246,5.23,-4.194,0.48891007900238037
7106,7207,1090,468,6,0.99,0.001,3.9399003982543945,5.29,-4.254,0.32386404275894165
7122,7223,1093,472,6,0.99,0.001,3.766831636428833,5.21,-4.1739999999999995,0.30482783913612366
7141,7242,1097,476,6,0.99,0.001,3.9980721473693848,5.24,-4.204,0.2815423607826233
7168,7269,1103,480,6,0.99,0.001,3.8437700271606445,5.35,-4.314,0.2896169424057007
7188,7289,1110,484,6,0.99,0.001,3.9605565071105957,5.39,-4.354,0.29349082708358765
7203,7304,1114,488,6,0.99,0.001,3.952153444290161,5.38,-4.343999999999999,0.344057559967041
7224,7325,1121,492,6,0.99,0.001,3.9625332355499268,5.35,-4.314,0.3486349880695343
7241,7342,1125,496,6,0.99,0.001,4.319986820220947,5.36,-4.324,0.38234829902648926
7258,7359,1129,500,6,1.0,0.001,3.690912961959839,4.93,-3.93,0.31386369466781616
7278,7379,1133,504,6,1.0,0.001,3.4765172004699707,5.0,-4.0,0.38804367184638977
7294,7395,1136,508,6,1.0,0.001,4.04201602935791,4.88,-3.88,0.3364807963371277
7313,7414,1140,512,6,1.0,0.001,3.8545260429382324,4.84,-3.84,0.39431360363960266
7331,7432,1145,516,6,1.0,0.001,3.9375905990600586,4.82,-3.82,0.3210826814174652
7351,7452,1149,520,6,1.0,0.001,3.4481360912323,4.82,-3.82,0.3890172839164734
7364,7465,1152,524,6,1.0,0.001,3.698320150375366,4.75,-3.75,0.3797112703323364
7383,7484,1156,528,6,1.0,0.001,3.63289475440979,4.66,-3.66,0.3292280435562134
7401,7502,1162,532,6,1.0,0.001,3.5313804149627686,4.59,-3.59,0.26508206129074097
7419,7520,1171,536,6,1.0,0.001,3.3376221656799316,4.62,-3.62,0.3177671432495117
7437,7538,1178,540,6,1.0,0.001,3.794502019882202,4.69,-3.69,0.31336814165115356
7457,7558,1187,544,6,1.0,0.001,4.617215633392334,4.75,-3.75,0.3201983869075775
7466,7567,1190,548,6,1.0,0.001,3.5019359588623047,4.61,-3.61,0.31477272510528564
7481,7582,1195,552,6,1.0,0.001,3.5534377098083496,4.55,-3.55,0.25440454483032227
7497,7598,1198,556,6,1.0,0.001,3.9065184593200684,4.52,-3.52,0.22162222862243652
7512,7613,1201,560,6,1.0,0.001,3.789355516433716,4.48,-3.48,0.35609734058380127
7530,7631,1205,564,6,1.0,0.001,3.0278749465942383,4.46,-3.46,0.2702006697654724
7543,7644,1207,568,6,1.0,0.001,3.940612554550171,4.37,-3.37,0.414011687040329
7559,7660,1209,572,6,1.0,0.001,3.8096327781677246,4.37,-3.37,0.2779328525066376
7579,7680,1213,576,6,1.0,0.001,3.767465114593506,4.38,-3.38,0.2564793527126312
7594,7695,1216,580,6,1.0,0.001,3.5904269218444824,4.26,-3.26,0.24557659029960632
7613,7714,1220,584,6,1.0,0.001,4.292258262634277,4.25,-3.25,0.2884492874145508
7628,7729,1223,588,6,1.0,0.001,3.4233837127685547,4.25,-3.25,0.31178808212280273
7649,7750,1227,592,6,1.0,0.001,3.6101737022399902,4.25,-3.25,0.26555556058883667
7667,7768,1230,596,6,1.0,0.001,3.7768523693084717,4.26,-3.26,0.3200334906578064
7682,7783,1233,600,6,1.0,0.001,3.786304473876953,4.24,-3.24,0.3620508909225464
7704,7805,1238,604,6,1.0,0.001,3.242499589920044,4.26,-3.26,0.28498780727386475
7723,7824,1242,608,6,1.0,0.001,3.761721611022949,4.29,-3.29,0.2831113636493683
7742,7843,1245,612,6,1.0,0.001,3.766232490539551,4.29,-3.29,0.27867206931114197
7807,7908,1256,616,6,0.99,0.001,3.4330790042877197,4.76,-3.77,0.30875450372695923
7824,7925,1261,620,6,0.99,0.001,3.3861007690429688,4.73,-3.74,0.225656658411026
7844,7945,1265,624,6,0.99,0.001,3.2972073554992676,4.8,-3.81,0.2844308018684387
7858,7959,1267,628,6,0.99,0.001,3.7992491722106934,4.75,-3.76,0.2451460063457489
7872,7973,1268,632,6,0.99,0.001,3.948411703109741,4.71,-3.72,0.3553631007671356
7892,7993,1271,636,6,0.99,0.001,3.0802688598632812,4.73,-3.74,0.29615461826324463
7912,8013,1273,640,6,0.99,0.001,4.041887283325195,4.75,-3.76,0.23612560331821442
7925,8026,1274,644,6,0.99,0.001,4.016900539398193,4.68,-3.69,0.2831457853317261
7941,8042,1275,648,6,0.99,0.001,3.11610746383667,4.75,-3.76,0.36586877703666687
8007,8108,1282,652,6,0.98,0.001,3.65006160736084,5.26,-4.28,0.2127709686756134
8029,8130,1284,656,6,0.98,0.001,3.4672181606292725,5.32,-4.34,0.26428425312042236
8040,8141,1285,660,6,0.98,0.001,3.31380295753479,5.28,-4.3,0.248600035905838
8109,8210,1292,664,6,0.97,0.001,3.868399143218994,5.79,-4.82,0.3083738684654236
8128,8229,1293,668,6,0.97,0.001,3.191154718399048,5.85,-4.88,0.2548367381095886
8146,8247,1295,672,6,0.97,0.001,3.464725971221924,5.87,-4.9,0.2764314115047455
8259,8360,1305,676,6,0.96,0.001,3.1594045162200928,6.8,-5.84,0.252701997756958
8277,8378,1307,680,6,0.96,0.001,3.5528182983398438,6.83,-5.87,0.22626283764839172
8296,8397,1308,684,6,0.96,0.001,3.6975014209747314,6.83,-5.87,0.25606852769851685
8309,8410,1309,688,6,0.96,0.001,3.6944968700408936,6.81,-5.85,0.26547926664352417
8323,8424,1311,692,6,0.96,0.001,3.3961539268493652,6.74,-5.78,0.25149330496788025
8341,8442,1312,696,6,0.96,0.001,3.3218297958374023,6.74,-5.78,0.2163374423980713
8362,8463,1314,700,6,0.96,0.001,3.545567512512207,6.8,-5.84,0.321045458316803
8376,8477,1316,704,6,0.96,0.001,3.5905399322509766,6.72,-5.76,0.26969391107559204
8394,8495,1319,708,6,0.96,0.001,3.1685054302215576,6.71,-5.75,0.2685863971710205
8409,8510,1320,712,6,0.96,0.001,3.435884952545166,6.67,-5.71,0.27874377369880676
8430,8531,1322,716,6,0.97,0.001,3.146200180053711,6.23,-5.26,0.3351667821407318
8445,8546,1324,720,6,0.97,0.001,3.393765926361084,6.21,-5.24,0.2405223399400711
8463,8564,1326,724,6,0.97,0.001,3.122075080871582,6.19,-5.22,0.28673362731933594
8478,8579,1328,728,6,0.97,0.001,3.2611026763916016,6.2,-5.23,0.28516772389411926
8503,8604,1332,732,6,0.97,0.001,3.053964614868164,6.31,-5.34,0.29262787103652954
8522,8623,1336,736,6,0.97,0.001,3.0727944374084473,6.3,-5.33,0.2917249798774719
8544,8645,1340,740,6,0.97,0.001,3.296654462814331,6.32,-5.35,0.3016285300254822
8560,8661,1342,744,6,0.97,0.001,3.148705244064331,6.35,-5.38,0.31609413027763367
8579,8680,1343,748,6,0.97,0.001,2.9855291843414307,6.38,-5.41,0.31089091300964355
8597,8698,1345,752,6,0.98,0.001,2.9153878688812256,5.9,-4.92,0.3503313660621643
8615,8716,1346,756,6,0.98,0.001,3.2736003398895264,5.86,-4.88,0.2548551559448242
8635,8736,1347,760,6,0.98,0.001,3.4323720932006836,5.95,-4.97,0.23268276453018188
8655,8756,1349,764,6,0.99,0.001,3.4455628395080566,5.46,-4.47,0.2265852689743042
8670,8771,1350,768,6,0.99,0.001,3.1086137294769287,5.42,-4.43,0.2882775366306305
8687,8788,1352,772,6,0.99,0.001,3.14782452583313,5.41,-4.42,0.2622078061103821
8708,8809,1354,776,6,1.0,0.001,3.429365634918213,4.49,-3.49,0.32045701146125793
8734,8835,1356,780,6,1.0,0.001,3.3074820041656494,4.57,-3.57,0.19009235501289368
8751,8852,1358,784,6,1.0,0.001,3.524876594543457,4.55,-3.55,0.2535238564014435
8770,8871,1359,788,6,1.0,0.001,3.032249689102173,4.61,-3.61,0.21706610918045044
8784,8885,1360,792,6,1.0,0.001,3.7826719284057617,4.61,-3.61,0.2753511667251587
8802,8903,1361,796,6,1.0,0.001,3.6226601600646973,4.61,-3.61,0.23914870619773865
8818,8919,1363,800,6,1.0,0.001,3.07466983795166,4.56,-3.56,0.2701529860496521
8840,8941,1364,804,6,1.0,0.001,2.8906733989715576,4.64,-3.64,0.2417708933353424
8858,8959,1366,808,6,1.0,0.001,3.446575164794922,4.64,-3.64,0.25683391094207764
8876,8977,1368,812,6,1.0,0.001,2.916551351547241,4.67,-3.67,0.23164574801921844
8889,8990,1369,816,6,1.0,0.001,3.293442726135254,4.59,-3.59,0.28326499462127686
8904,9005,1370,820,6,1.0,0.001,3.652449607849121,4.59,-3.59,0.22918547689914703
8919,9020,1372,824,6,1.0,0.001,3.3129496574401855,4.56,-3.56,0.21878324449062347
8940,9041,1374,828,6,1.0,0.001,3.3656060695648193,4.62,-3.62,0.19230052828788757
8954,9055,1375,832,6,1.0,0.001,3.024707078933716,4.51,-3.51,0.2787674069404602
8972,9073,1376,836,6,1.0,0.001,3.066088914871216,4.5,-3.5,0.21496914327144623
8986,9087,1378,840,6,1.0,0.001,3.180927038192749,4.42,-3.42,0.27837443351745605
9001,9102,1381,844,6,1.0,0.001,3.3215525150299072,4.41,-3.41,0.18501122295856476
9012,9113,1384,848,6,1.0,0.001,3.085413694381714,4.33,-3.33,0.21438835561275482
9028,9129,1386,852,6,1.0,0.001,3.481445550918579,4.31,-3.31,0.39555981755256653
9044,9145,1388,856,6,1.0,0.001,2.9506850242614746,4.29,-3.29,0.24899806082248688
9060,9161,1390,860,6,1.0,0.001,2.899801015853882,4.25,-3.25,0.22229552268981934
9076,9177,1392,864,6,1.0,0.001,2.8780453205108643,4.21,-3.21,0.41793036460876465
9095,9196,1393,868,6,1.0,0.001,2.7961113452911377,4.25,-3.25,0.23210257291793823
9112,9213,1396,872,6,1.0,0.001,3.37062931060791,4.25,-3.25,0.22465300559997559
9125,9226,1397,876,6,1.0,0.001,3.1433920860290527,4.17,-3.17,0.2707344889640808
9147,9248,1399,880,6,1.0,0.001,3.399303436279297,4.13,-3.13,0.21490764617919922
9163,9264,1400,884,6,1.0,0.001,2.613370180130005,4.12,-3.12,0.21262721717357635
9184,9285,1402,888,6,1.0,0.001,2.6430654525756836,4.14,-3.14,0.24973681569099426
9204,9305,1403,892,6,1.0,0.001,3.3635942935943604,4.2,-3.2,0.2300090491771698
9221,9322,1405,896,6,1.0,0.001,2.772191047668457,4.19,-3.19,0.311251163482666
9233,9334,1406,900,6,1.0,0.001,3.0148158073425293,4.15,-3.15,0.21208935976028442
9253,9354,1407,904,6,1.0,0.001,3.0667662620544434,4.13,-3.13,0.19552470743656158
9272,9373,1409,908,6,1.0,0.001,2.853461265563965,4.14,-3.14,0.24460235238075256
9289,9390,1410,912,6,1.0,0.001,3.528836488723755,4.13,-3.13,0.2117752581834793
9312,9413,1412,916,6,1.0,0.001,2.9757261276245117,4.23,-3.23,0.23531468212604523
9327,9428,1413,920,6,1.0,0.001,3.056554079055786,4.23,-3.23,0.22515645623207092
9341,9442,1414,924,6,1.0,0.001,2.919473886489868,4.22,-3.22,0.22384914755821228
9365,9466,1416,928,6,1.0,0.001,2.7069127559661865,4.25,-3.25,0.18623840808868408
9381,9482,1417,932,6,1.0,0.001,3.513437032699585,4.27,-3.27,0.19819870591163635
9395,9496,1418,936,6,1.0,0.001,3.1086971759796143,4.23,-3.23,0.17847299575805664
9415,9516,1420,940,6,1.0,0.001,2.8801000118255615,4.29,-3.29,0.23249949514865875
9433,9534,1421,944,6,1.0,0.001,2.8959152698516846,4.32,-3.32,0.2198084443807602
9453,9554,1422,948,6,1.0,0.001,3.4594767093658447,4.41,-3.41,0.20320993661880493
9471,9572,1424,952,6,1.0,0.001,3.3077666759490967,4.43,-3.43,0.23742817342281342
9490,9591,1425,956,6,1.0,0.001,3.1972436904907227,4.46,-3.46,0.21221628785133362
9506,9607,1427,960,6,1.0,0.001,2.9411044120788574,4.46,-3.46,0.24697309732437134
9529,9630,1429,964,6,1.0,0.001,3.172503709793091,4.53,-3.53,0.2527516186237335
9545,9646,1430,968,6,1.0,0.001,3.2252068519592285,4.5,-3.5,0.19139432907104492
9567,9668,1432,972,6,1.0,0.001,3.5734429359436035,4.55,-3.55,0.2130858600139618
9584,9685,1433,976,6,1.0,0.001,2.8978400230407715,4.59,-3.59,0.2194298952817917
9599,9700,1434,980,6,1.0,0.001,2.9603421688079834,4.52,-3.52,0.18127591907978058
9614,9715,1435,984,6,1.0,0.001,3.3456637859344482,4.51,-3.51,0.3255966305732727
9630,9731,1438,988,6,1.0,0.001,3.251412868499756,4.46,-3.46,0.26101186871528625
9647,9748,1442,992,6,1.0,0.001,2.82196044921875,4.43,-3.43,0.2656559944152832
9660,9761,1444,996,6,1.0,0.001,3.0066750049591064,4.39,-3.39,0.24748918414115906
9682,9783,1449,1000,6,1.0,0.001,3.471404552459717,4.49,-3.49,0.23610252141952515
9694,9795,1451,1004,6,1.0,0.001,3.2804532051086426,4.41,-3.41,0.2378607839345932
9712,9813,1454,1008,6,1.0,0.001,3.2146224975585938,4.4,-3.4,0.238331139087677
9731,9832,1457,1012,6,1.0,0.001,3.2246711254119873,4.42,-3.42,0.24949976801872253
9748,9849,1459,1016,6,1.0,0.001,2.5836427211761475,4.36,-3.36,0.20459012687206268
9769,9870,1463,1020,6,1.0,0.001,3.372526168823242,4.42,-3.42,0.2084636092185974
9784,9885,1465,1024,6,1.0,0.001,3.6170597076416016,4.43,-3.43,0.2591966986656189
9804,9905,1469,1028,6,1.0,0.001,3.0376222133636475,4.39,-3.39,0.29084014892578125
9819,9920,1471,1032,6,1.0,0.001,2.9359188079833984,4.38,-3.38,0.21069326996803284
9834,9935,1473,1036,6,1.0,0.001,2.356471538543701,4.39,-3.39,0.23355510830879211
9851,9952,1475,1040,6,1.0,0.001,2.9393060207366943,4.36,-3.36,0.21135449409484863
9867,9968,1478,1044,6,1.0,0.001,2.962913751602173,4.34,-3.34,0.20781239867210388
9890,9991,1481,1048,6,1.0,0.001,3.096221446990967,4.37,-3.37,0.20942452549934387
