train/learning_rate,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
0.001,5709,792,4,0.99,0.0012887183111160994,5608,4.69,-0.48292050000000003,1317,0.18600422143936157
0.001,5726,796,4,0.99,0.0011807421687990427,5625,4.65,-0.48379141,1320,0.17553505301475525
0.001,5748,800,4,0.99,0.0014063853304833174,5647,4.69,-0.49086366000000003,1322,0.16281911730766296
0.001,5762,804,4,0.99,0.0012306834105402231,5661,4.66,-0.4833291600000001,1324,0.174432635307312
0.001,5778,808,4,0.99,0.001593634020537138,5677,4.68,-0.48612781,1327,0.2071269452571869
0.001,5788,812,4,0.99,0.002000486711040139,5687,4.64,-0.48168856,1328,0.2228904515504837
0.001,5807,816,4,0.99,0.0014100666157901287,5706,4.69,-0.48913926999999996,1331,0.18218638002872467
0.001,5827,820,4,0.99,0.0012670933501794934,5726,4.7,-0.4880168599999999,1335,0.17967937886714935
0.001,5861,824,4,0.99,0.0010678672697395086,5760,4.89,-0.51130615,1345,0.21907398104667664
0.001,5884,828,4,0.99,0.0012700615916401148,5783,4.97,-0.52454662,1350,0.21500620245933533
0.001,5898,832,4,1.0,0.0012995207216590643,5797,4.47,-0.48324885,1353,0.17739467322826385
0.001,5912,836,4,1.0,0.0018128022784367204,5811,4.47,-0.48347082,1356,0.1758212447166443
0.001,5931,840,4,1.0,0.0016411860706284642,5830,4.45,-0.47504571000000007,1361,0.2116844207048416
0.001,5943,844,4,1.0,0.0010829323437064886,5842,4.37,-0.4623416600000001,1364,0.19029422104358673
0.001,5969,848,4,1.0,0.0012373425997793674,5868,4.44,-0.4694954700000001,1369,0.18340502679347992
0.001,5988,852,4,1.0,0.002232256345450878,5887,4.52,-0.4814647800000001,1372,0.16638419032096863
0.001,6002,856,4,1.0,0.002045989502221346,5901,4.51,-0.47857414,1374,0.21999096870422363
0.001,6015,860,4,1.0,0.0016126125119626522,5914,4.47,-0.4722961600000001,1377,0.20238085091114044
0.001,6030,864,4,1.0,0.0013982311356812716,5929,4.43,-0.46610126,1380,0.1987808793783188
0.001,6041,868,4,1.0,0.001288433326408267,5940,4.38,-0.45646869999999995,1383,0.15948596596717834
0.001,6056,872,4,1.0,0.0016039512120187283,5955,4.33,-0.44663504,1387,0.16590458154678345
0.001,6072,876,4,1.0,0.0011921414406970143,5971,4.33,-0.44264595999999995,1392,0.21767650544643402
0.001,6089,880,4,1.0,0.0013882945058867335,5988,4.31,-0.44057437,1396,0.16984981298446655
0.001,6107,884,4,1.0,0.001339955604635179,6006,4.34,-0.4459280799999999,1399,0.1756718009710312
