rollout/ep_len_mean,rollout/success_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/actor_loss
4.84,1.0,0.0005674725980497897,8,5065,599,5166,524,-0.48871561,0.001,0.1665821522474289
4.95,1.0,0.0007974521140567958,8,5090,601,5191,528,-0.49618390000000007,0.001,0.22423198819160461
4.92,1.0,0.0008995997486636043,8,5107,604,5208,532,-0.48800947000000006,0.001,0.25659996271133423
4.92,1.0,0.0005019689560867846,8,5126,606,5227,536,-0.4882347799999999,0.001,0.22383373975753784
4.9,1.0,0.0006289173616096377,8,5146,609,5247,540,-0.4892820300000001,0.001,0.290126770734787
4.9,1.0,0.0005711825215257704,8,5165,610,5266,544,-0.4929229299999999,0.001,0.3272043466567993
4.87,1.0,0.0005717087769880891,8,5182,611,5283,548,-0.49265921000000007,0.001,0.3164772391319275
4.88,1.0,0.0006212270236574113,8,5198,612,5299,552,-0.49679157,0.001,0.2733507454395294
4.9,1.0,0.0007549679139629006,8,5214,614,5315,556,-0.49819987999999993,0.001,0.2655189037322998
4.93,1.0,0.00043397446279414,8,5233,615,5334,560,-0.5004030500000001,0.001,0.2211248278617859
4.86,1.0,0.0009237219928763807,8,5247,616,5348,564,-0.4895976999999999,0.001,0.20203453302383423
4.87,1.0,0.000982932629995048,8,5265,618,5366,568,-0.4916045,0.001,0.23405180871486664
5.37,0.99,0.0008494344656355679,8,5331,627,5432,572,-0.5305883700000001,0.001,0.23297923803329468
5.32,0.99,0.000524956441950053,8,5350,630,5451,576,-0.52583713,0.001,0.28180667757987976
5.32,0.99,0.0005435725906863809,8,5370,632,5471,580,-0.5277233699999999,0.001,0.1993735283613205
5.26,0.99,0.0007661403506062925,8,5382,633,5483,584,-0.5179521399999999,0.001,0.37377238273620605
5.29,0.99,0.000592279713600874,8,5402,636,5503,588,-0.5245497800000001,0.001,0.3163430988788605
5.37,0.99,0.0005372989689931273,8,5426,638,5527,592,-0.5382453700000001,0.001,0.21865449845790863
