time/total_timesteps,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
7328,0.0003,19,0.3270203173160553,316,0.12504363059997559,-6.38,0.98,7227,7.36,381,-2.703010082244873,-6.759891033172607
7344,0.0003,19,0.296857625246048,320,0.12452498823404312,-5.86,0.99,7243,6.85,382,-3.225525379180908,-7.349442005157471
7358,0.0003,19,0.25520622730255127,324,0.12405809015035629,-5.77,0.99,7257,6.76,383,-3.516329050064087,-6.535904407501221
7372,0.0003,19,0.3055032193660736,328,0.1236032173037529,-5.61,0.99,7271,6.6,384,-3.16745662689209,-6.97367000579834
7390,0.0003,19,0.25490185618400574,332,0.1230207234621048,-5.63,0.99,7289,6.62,385,-3.221064329147339,-6.686814308166504
7408,0.0003,19,0.2456989884376526,336,0.12244245409965515,-5.64,0.99,7307,6.63,386,-3.7456674575805664,-7.205120086669922
7421,0.0003,19,0.2906638979911804,340,0.12201663851737976,-4.8,0.99,7320,5.79,387,-3.1136958599090576,-6.696103572845459
7442,0.0003,19,0.2675723135471344,344,0.12135446816682816,-4.81,0.99,7341,5.8,389,-3.977013349533081,-6.779837608337402
7466,0.0003,19,0.2658083140850067,348,0.12059331685304642,-4.86,0.99,7365,5.85,391,-3.162479877471924,-7.090909481048584
7481,0.0003,19,0.22415602207183838,352,0.12011947482824326,-4.89,0.99,7380,5.88,392,-3.036012887954712,-6.688933849334717
7501,0.0003,19,0.23373958468437195,356,0.11948975920677185,-4.89,0.99,7400,5.88,393,-2.7388134002685547,-6.896880626678467
7541,0.0003,19,0.2077716439962387,360,0.11823466420173645,-5.04,0.99,7440,6.03,395,-2.3677737712860107,-7.004855155944824
7568,0.0003,19,0.2778272032737732,364,0.11740118265151978,-5.08,0.99,7467,6.07,397,-3.0689640045166016,-6.818554401397705
7627,0.0003,19,0.2287282645702362,368,0.11559510231018066,-5.41,0.98,7526,6.39,400,-2.6253652572631836,-7.089031219482422
7640,0.0003,19,0.24220940470695496,372,0.11520466208457947,-4.74,0.99,7539,5.73,401,-3.2300331592559814,-6.92301082611084
7656,0.0003,19,0.3098450005054474,376,0.11472263932228088,-4.62,0.99,7555,5.61,402,-2.6827569007873535,-6.7592902183532715
7673,0.0003,18,0.2753501534461975,380,0.11422144621610641,-4.33,0.99,7572,5.32,404,-2.91922926902771,-7.237123966217041
7714,0.0003,18,0.32977473735809326,384,0.11301074922084808,-4.57,0.99,7613,5.56,408,-2.295428514480591,-7.2101898193359375
7735,0.0003,18,0.23307210206985474,388,0.11239265650510788,-4.62,0.99,7634,5.61,410,-2.935242176055908,-6.722104549407959
7757,0.0003,18,0.2570153474807739,392,0.11174549162387848,-4.71,0.99,7656,5.7,412,-2.4909682273864746,-6.551643371582031
7825,0.0003,18,0.2444959580898285,396,0.10979552567005157,-4.9,0.99,7724,5.89,417,-2.391256332397461,-7.150884628295898
7842,0.0003,18,0.27344951033592224,400,0.10930874198675156,-4.88,0.99,7741,5.87,418,-2.347900867462158,-6.984136581420898
7862,0.0003,18,0.218399778008461,404,0.10874637961387634,-4.92,0.99,7761,5.91,419,-2.211733818054199,-6.701510906219482
7885,0.0003,18,0.242998868227005,408,0.10810082405805588,-4.97,0.99,7784,5.96,421,-2.244795560836792,-6.6231536865234375
7907,0.0003,18,0.235234797000885,412,0.10749941319227219,-4.98,0.99,7806,5.97,422,-2.6750800609588623,-6.575833797454834
7922,0.0003,18,0.23357653617858887,416,0.10708692669868469,-4.95,0.99,7821,5.94,423,-2.2926008701324463,-6.629608154296875
7962,0.0003,18,0.22893266379833221,420,0.10598798096179962,-5.19,0.99,7861,6.18,425,-2.719560146331787,-6.796356201171875
7980,0.0003,18,0.22880819439888,424,0.10549498349428177,-5.23,0.99,7879,6.22,426,-2.454672336578369,-6.283385753631592
7999,0.0003,18,0.2357044219970703,428,0.10498793423175812,-5.28,0.99,7898,6.27,428,-2.3016724586486816,-6.904496192932129
8012,0.0003,18,0.2624967098236084,432,0.10463910549879074,-5.23,0.99,7911,6.22,428,-2.297868490219116,-6.399316310882568
8024,0.0003,18,0.25653356313705444,436,0.10432342439889908,-5.17,0.99,7923,6.16,429,-2.621147632598877,-6.952043056488037
