train/learning_rate,rollout/success_rate,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
0.001,0.96,1450,3.5576772689819336,6993,6.76,424,4,0.41756850481033325,7094,-5.79
0.001,0.96,1453,3.84161114692688,7008,6.75,428,4,0.3357544541358948,7109,-5.78
0.001,0.97,1455,3.467759132385254,7026,6.32,432,4,0.46298110485076904,7127,-5.34
0.001,0.97,1460,3.550067186355591,7063,6.38,436,4,0.36905115842819214,7164,-5.41
0.001,0.97,1462,3.5123021602630615,7081,6.31,440,4,0.34831294417381287,7182,-5.34
0.001,0.97,1465,3.926421880722046,7105,6.39,444,4,0.3089087903499603,7206,-5.42
0.001,0.97,1468,2.9817147254943848,7126,6.36,448,4,0.49055004119873047,7227,-5.39
0.001,0.97,1470,3.049948215484619,7142,6.35,452,4,0.4875873923301697,7243,-5.38
0.001,0.98,1471,3.4170820713043213,7153,5.81,456,4,0.48829448223114014,7254,-4.83
0.001,0.98,1477,3.0817432403564453,7174,5.88,460,4,0.3862195909023285,7275,-4.9
0.001,0.98,1480,4.069106578826904,7192,5.87,464,4,0.34213340282440186,7293,-4.89
0.001,0.98,1486,3.599483013153076,7216,5.92,468,4,0.42930465936660767,7317,-4.94
0.001,0.98,1491,3.4638497829437256,7240,5.92,472,4,0.3772500157356262,7341,-4.94
0.001,0.98,1495,3.451951265335083,7255,5.89,476,4,0.43576928973197937,7356,-4.91
0.001,0.98,1498,3.667025327682495,7272,5.88,480,4,0.32368090748786926,7373,-4.9
0.001,0.98,1502,3.4742789268493652,7294,5.97,484,4,0.41437628865242004,7395,-4.99
0.001,0.99,1505,3.7998101711273193,7309,5.44,488,4,0.38946107029914856,7410,-4.45
0.001,1.0,1510,3.7469310760498047,7327,5.01,492,4,0.34745752811431885,7428,-4.01
0.001,1.0,1514,3.09970760345459,7341,4.98,496,4,0.4034009873867035,7442,-3.98
0.001,1.0,1520,3.592827558517456,7363,4.79,500,4,0.4103134274482727,7464,-3.79
0.001,1.0,1525,2.761085271835327,7384,4.79,504,4,0.38609978556632996,7485,-3.79
0.001,1.0,1528,3.1331448554992676,7400,4.79,508,4,0.44073137640953064,7501,-3.79
0.001,1.0,1536,3.2657153606414795,7435,4.96,512,4,0.3361275792121887,7536,-3.96
0.001,1.0,1540,3.3552498817443848,7454,4.98,516,4,0.3528527617454529,7555,-3.98
0.001,1.0,1544,3.522568464279175,7472,5.01,520,4,0.5090559720993042,7573,-4.01
0.001,1.0,1547,3.4708895683288574,7491,4.98,524,4,0.3573143482208252,7592,-3.98
0.001,1.0,1550,3.6313393115997314,7508,5.0,528,4,0.37805652618408203,7609,-4.0
0.001,0.99,1562,3.3381009101867676,7575,5.49,532,4,0.2742384076118469,7676,-4.5
0.001,0.99,1564,3.2613754272460938,7591,5.28,536,4,0.3415479362010956,7692,-4.29
0.001,0.99,1567,3.364975690841675,7611,5.3,540,4,0.3176570534706116,7712,-4.31
0.001,0.99,1570,3.5947444438934326,7627,5.22,544,4,0.3206237852573395,7728,-4.23
0.001,0.99,1572,3.5151190757751465,7644,5.18,548,4,0.3156793415546417,7745,-4.19
0.001,0.99,1578,3.7601850032806396,7670,5.28,552,4,0.4082063138484955,7771,-4.29
0.001,0.99,1581,3.586885690689087,7686,5.33,556,4,0.3089851140975952,7787,-4.34
0.001,0.99,1583,3.238858461380005,7699,5.25,560,4,0.280139297246933,7800,-4.26
0.001,0.99,1586,3.302816390991211,7716,5.24,564,4,0.3190034329891205,7817,-4.25
0.001,0.99,1588,3.4252829551696777,7732,5.16,568,4,0.34593504667282104,7833,-4.17
0.001,0.99,1591,2.5339784622192383,7748,5.08,572,4,0.4513978958129883,7849,-4.09
0.001,0.99,1593,3.3043205738067627,7765,5.1,576,4,0.42095619440078735,7866,-4.11
0.001,0.99,1596,3.3940589427948,7780,5.08,580,4,0.3657757043838501,7881,-4.09
0.001,0.99,1600,3.12286639213562,7801,5.07,584,4,0.38676342368125916,7902,-4.08
0.001,0.99,1605,3.153024435043335,7820,5.11,588,4,0.27382904291152954,7921,-4.12
0.001,0.99,1608,3.0638458728790283,7836,5.09,592,4,0.38365620374679565,7937,-4.1
0.001,0.99,1612,2.8286280632019043,7850,5.09,596,4,0.42142224311828613,7951,-4.1
0.001,0.98,1625,3.2275495529174805,7911,5.48,600,4,0.29256051778793335,8012,-4.5
0.001,0.98,1628,3.388671636581421,7925,5.41,604,4,0.33011531829833984,8026,-4.43
0.001,0.98,1632,3.2871525287628174,7945,5.45,608,4,0.2552826702594757,8046,-4.47
0.001,0.98,1638,2.9301328659057617,7968,5.33,612,4,0.2851821482181549,8069,-4.35
