rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/n_updates,train/critic_loss,train/actor_loss,rollout/success_rate,train/learning_rate
-1.01445102,811,10.36,216,4,3847,3746,0.0030239401385188103,0.43771836161613464,0.9,0.001
-1.0030430599999998,814,10.28,220,4,3862,3761,0.0037224674597382545,0.3669479489326477,0.9,0.001
-0.9377090499999998,817,9.77,224,4,3879,3778,0.002580106258392334,0.4018728733062744,0.91,0.001
-0.8870572200000001,820,9.25,228,4,3892,3791,0.003065924160182476,0.4511245787143707,0.92,0.001
-0.8975667900000002,833,9.25,232,4,3957,3856,0.003201022045686841,0.39151713252067566,0.92,0.001
-0.7929059800000001,840,8.2,236,4,3996,3895,0.0026364452205598354,0.3464657962322235,0.94,0.001
-0.7199934,853,7.29,240,4,4060,3959,0.003170748706907034,0.44301915168762207,0.96,0.001
-0.7124190300000001,857,7.26,244,4,4075,3974,0.0035798726603388786,0.3951011002063751,0.96,0.001
-0.7075237399999998,866,7.2,248,4,4096,3995,0.0024465597234666348,0.40986382961273193,0.96,0.001
-0.7138817900000001,869,7.27,252,4,4117,4016,0.0033314223401248455,0.4460561275482178,0.96,0.001
-0.6935557599999999,874,7.01,256,4,4134,4033,0.0025692135095596313,0.33598631620407104,0.96,0.001
-0.67695401,876,6.88,260,4,4143,4042,0.002287642564624548,0.40252214670181274,0.96,0.001
-0.6701533000000001,879,6.8,264,4,4157,4056,0.0034447205252945423,0.45975154638290405,0.96,0.001
-0.6729785700000002,886,6.79,268,4,4194,4093,0.0031523904763162136,0.38081830739974976,0.96,0.001
-0.6629391900000001,889,6.76,272,4,4213,4112,0.0023402944207191467,0.3429884910583496,0.96,0.001
-0.6662808800000001,891,6.78,276,4,4230,4129,0.0024440058041363955,0.41869184374809265,0.96,0.001
-0.6489260099999999,894,6.65,280,4,4244,4143,0.0027637029998004436,0.41905009746551514,0.96,0.001
-0.6401547399999999,898,6.61,284,4,4260,4159,0.003107612021267414,0.5245482325553894,0.96,0.001
-0.6377019799999999,902,6.61,288,4,4281,4180,0.002992465626448393,0.43184027075767517,0.96,0.001
-0.6337773,906,6.56,292,4,4300,4199,0.0035560254473239183,0.3812561631202698,0.96,0.001
-0.62866662,910,6.54,296,4,4316,4215,0.0027605504728853703,0.4102231562137604,0.96,0.001
-0.6307836900000001,914,6.56,300,4,4335,4234,0.002854206133633852,0.35769516229629517,0.96,0.001
-0.5906217599999999,919,6.04,304,4,4351,4250,0.0024292373564094305,0.41931119561195374,0.97,0.001
-0.5898672,921,6.03,308,4,4366,4265,0.00288980221375823,0.43572282791137695,0.97,0.001
-0.55069243,926,5.62,312,4,4393,4292,0.0035542987752705812,0.4148191511631012,0.98,0.001
-0.5540302899999999,929,5.65,316,4,4412,4311,0.0029199011623859406,0.3264697790145874,0.98,0.001
-0.55571485,933,5.69,320,4,4431,4330,0.002182480413466692,0.44058114290237427,0.98,0.001
-0.55791901,937,5.71,324,4,4450,4349,0.0029327752999961376,0.3037194609642029,0.98,0.001
-0.56242582,941,5.76,328,4,4468,4367,0.002978540025651455,0.3244904577732086,0.98,0.001
-0.50812625,944,5.27,332,4,4484,4383,0.002591164782643318,0.36420580744743347,0.99,0.001
-0.49505386000000007,947,5.04,336,4,4500,4399,0.0028148528654128313,0.33428382873535156,0.99,0.001
-0.45440025999999994,953,4.64,340,4,4524,4423,0.0029519987292587757,0.33807581663131714,1.0,0.001
-0.4584916799999999,955,4.65,344,4,4540,4439,0.002316772472113371,0.3383499085903168,1.0,0.001
-0.45199077000000004,960,4.62,348,4,4558,4457,0.0027752513997256756,0.39439526200294495,1.0,0.001
-0.44983377,963,4.6,352,4,4577,4476,0.002471304964274168,0.3554909825325012,1.0,0.001
-0.45387023,968,4.62,356,4,4596,4495,0.0026626987382769585,0.35559943318367004,1.0,0.001
-0.46923716999999987,970,4.71,360,4,4614,4513,0.0023370087146759033,0.29143017530441284,1.0,0.001
-0.4746033399999999,973,4.74,364,4,4631,4530,0.0030674044974148273,0.35309702157974243,1.0,0.001
-0.4550554899999999,976,4.52,368,4,4646,4545,0.0026247347705066204,0.29689159989356995,1.0,0.001
-0.45279100000000005,978,4.5,372,4,4663,4562,0.0022276141680777073,0.31433573365211487,1.0,0.001
-0.45609657000000003,982,4.53,376,4,4683,4582,0.0026986906304955482,0.3780030906200409,1.0,0.001
-0.45988985000000004,986,4.57,380,4,4701,4600,0.002864600159227848,0.34540390968322754,1.0,0.001
