rollout/success_rate,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed
1.0,0.8661977052688599,5758,-3.4,448,5657,0.08093121647834778,4.4,0.001,7,719
1.0,0.7539442181587219,5773,-3.39,452,5672,0.08898546546697617,4.39,0.001,7,722
1.0,0.9895307421684265,5783,-3.36,456,5682,0.0864623486995697,4.36,0.001,7,724
1.0,1.0060434341430664,5802,-3.38,460,5701,0.0974852442741394,4.38,0.001,7,728
1.0,0.8273762464523315,5812,-3.33,464,5711,0.08596885949373245,4.33,0.001,7,730
1.0,0.6609776020050049,5825,-3.32,468,5724,0.0981653705239296,4.32,0.001,7,732
1.0,0.922015905380249,5837,-3.2,472,5736,0.08893896639347076,4.2,0.001,7,733
1.0,1.0789380073547363,5853,-3.18,476,5752,0.06740899384021759,4.18,0.001,7,736
1.0,0.9617033004760742,5871,-3.21,480,5770,0.07655593752861023,4.21,0.001,7,740
1.0,0.7563828229904175,5888,-3.22,484,5787,0.0720861479640007,4.22,0.001,7,743
1.0,1.017259955406189,5908,-3.23,488,5807,0.06782108545303345,4.23,0.001,7,746
1.0,0.765251874923706,5931,-3.28,492,5830,0.07564344257116318,4.28,0.001,7,750
1.0,0.9388007521629333,5946,-3.29,496,5845,0.07143990695476532,4.29,0.001,7,753
1.0,0.8228400945663452,5959,-3.25,500,5858,0.07031531631946564,4.25,0.001,7,755
1.0,0.6929642558097839,5978,-3.29,504,5877,0.06977075338363647,4.29,0.001,7,758
0.99,0.8718727827072144,6042,-3.75,508,5941,0.06635084003210068,4.74,0.001,7,769
0.99,0.9151262640953064,6061,-3.74,512,5960,0.09037487208843231,4.73,0.001,7,772
0.99,0.7910100817680359,6078,-3.75,516,5977,0.07953587174415588,4.74,0.001,7,774
0.99,0.7031573057174683,6098,-3.65,520,5997,0.04805364832282066,4.64,0.001,7,777
