train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,time/episodes,train/ent_coef,rollout/success_rate
0.0003,1009,7418,17.03,0.1759009063243866,-16.18,-6.413814067840576,7317,7,-2.829739809036255,228,0.12264066189527512,0.85
0.0003,1011,7448,15.67,0.2939924895763397,-14.79,-6.491388320922852,7347,7,-2.6419827938079834,232,0.12171144783496857,0.88
0.0003,1012,7465,15.34,0.23085840046405792,-14.46,-6.778670310974121,7364,7,-2.6888294219970703,236,0.12118940055370331,0.88
0.0003,1016,7541,14.54,0.17991366982460022,-13.64,-6.3818864822387695,7440,7,-2.6382720470428467,240,0.11885552853345871,0.9
0.0003,1019,7572,13.56,0.2262728214263916,-12.64,-6.712192058563232,7471,7,-2.3695592880249023,244,0.11790851503610611,0.92
0.0003,1026,7666,13.48,0.2578795552253723,-12.56,-6.345214366912842,7565,7,-2.470168352127075,248,0.11511147767305374,0.92
0.0003,1033,7779,13.61,0.18897999823093414,-12.69,-6.493698596954346,7678,7,-2.1371023654937744,252,0.11186576634645462,0.92
0.0003,1038,7851,13.28,0.278070330619812,-12.36,-6.464306354522705,7750,7,-2.2068254947662354,256,0.10985825955867767,0.92
0.0003,1040,7879,13.03,0.30743736028671265,-12.11,-6.397678852081299,7778,7,-1.5446255207061768,260,0.1090904101729393,0.92
0.0003,1041,7903,12.96,0.30124738812446594,-12.04,-6.703470230102539,7802,7,-1.8062421083450317,264,0.10843973606824875,0.92
0.0003,1044,7947,13.04,0.175016388297081,-12.12,-6.103555202484131,7846,7,-2.1623780727386475,268,0.1072532907128334,0.92
0.0003,1045,7964,12.66,0.19869175553321838,-11.74,-6.142204284667969,7863,7,-2.337169885635376,272,0.10679692029953003,0.92
0.0003,1051,8036,12.99,0.3790908455848694,-12.08,-6.7086381912231445,7935,7,-2.15035080909729,276,0.10490536689758301,0.91
0.0003,1054,8064,12.4,0.20779100060462952,-11.48,-6.238891124725342,7963,7,-1.8592000007629395,280,0.10418373346328735,0.92
0.0003,1063,8133,11.98,0.22288978099822998,-11.06,-5.752333164215088,8032,7,-1.2851163148880005,284,0.10242848098278046,0.92
0.0003,1071,8194,11.67,0.21865913271903992,-10.74,-6.38295841217041,8093,7,-1.5940020084381104,288,0.10090365260839462,0.93
0.0003,1075,8218,11.66,0.24643823504447937,-10.73,-6.094862461090088,8117,7,-1.5354819297790527,292,0.10030563920736313,0.93
0.0003,1082,8243,11.59,0.22174318134784698,-10.66,-6.596370220184326,8142,7,-1.052773356437683,296,0.09968846291303635,0.93
0.0003,1096,8323,11.93,0.2336125373840332,-11.01,-6.307769298553467,8222,7,-1.6589078903198242,300,0.09776394814252853,0.92
0.0003,1107,8388,12.33,0.1815202832221985,-11.42,-6.300417423248291,8287,7,-1.8421480655670166,304,0.09624284505844116,0.91
0.0003,1114,8445,12.08,0.24389564990997314,-11.16,-6.037141799926758,8344,7,-0.9749258160591125,308,0.09494460374116898,0.92
0.0003,1117,8467,11.91,0.3427792489528656,-10.99,-5.591717720031738,8366,7,-1.0577383041381836,312,0.09443900734186172,0.92
0.0003,1123,8530,12.07,0.20579348504543304,-11.15,-5.685471534729004,8429,7,-1.2657305002212524,316,0.09304261207580566,0.92
0.0003,1124,8548,12.03,0.23404541611671448,-11.11,-6.281216621398926,8447,7,-1.442737102508545,320,0.09264839440584183,0.92
0.0003,1128,8619,12.45,0.2586502134799957,-11.54,-5.534496307373047,8518,7,-1.1675000190734863,324,0.09108322858810425,0.91
0.0003,1134,8724,13.06,0.30510127544403076,-12.17,-5.392441749572754,8623,7,-0.6724589467048645,328,0.08883778005838394,0.89
0.0003,1139,8799,13.51,0.2975761294364929,-12.63,-5.628349781036377,8698,7,-1.5889976024627686,332,0.08726996928453445,0.88
0.0003,1142,8833,13.68,0.28514763712882996,-12.8,-5.075721263885498,8732,7,-0.9660651087760925,336,0.08656506985425949,0.88
0.0003,1143,8851,13.1,0.36288273334503174,-12.21,-6.167189121246338,8750,7,-1.0354866981506348,340,0.08620602637529373,0.89
0.0003,1145,8879,13.07,0.2386779487133026,-12.18,-5.611418724060059,8778,7,-1.1617940664291382,344,0.08563228696584702,0.89
0.0003,1147,8912,12.46,0.48679348826408386,-11.56,-5.388839244842529,8811,7,-0.3672569692134857,348,0.08497387170791626,0.9
0.0003,1150,8960,11.81,0.19437748193740845,-10.9,-5.230717658996582,8859,7,-0.9945859909057617,352,0.0840272381901741,0.91
0.0003,1152,8990,11.39,0.20326876640319824,-10.47,-5.734304428100586,8889,7,-0.9777098298072815,356,0.08344299346208572,0.92
0.0003,1154,9018,11.39,0.25100177526474,-10.47,-5.379637241363525,8917,7,-0.6523009538650513,360,0.08289980888366699,0.92
0.0003,1155,9042,11.39,0.3902829885482788,-10.47,-5.270050048828125,8941,7,-1.1854654550552368,364,0.08244022727012634,0.92
0.0003,1157,9065,11.18,0.35314035415649414,-10.26,-5.184450626373291,8964,7,0.12836354970932007,368,0.08199653029441833,0.92
0.0003,1160,9128,11.64,0.25606492161750793,-10.73,-4.804952621459961,9027,7,-0.8421960473060608,372,0.08083105832338333,0.91
0.0003,1162,9154,11.18,0.24964192509651184,-10.26,-4.869401454925537,9053,7,-0.48606550693511963,376,0.08035792410373688,0.92
0.0003,1164,9179,11.15,0.24611186981201172,-10.23,-5.367823600769043,9078,7,-0.6032530665397644,380,0.0798974484205246,0.92
0.0003,1166,9209,10.76,0.31587183475494385,-9.83,-5.12615966796875,9108,7,-0.948695182800293,384,0.07934082299470901,0.93
0.0003,1171,9279,10.85,0.2759377062320709,-9.93,-5.044067859649658,9178,7,-0.37590280175209045,388,0.07809414714574814,0.92
0.0003,1180,9347,11.29,0.27370259165763855,-10.38,-5.052875518798828,9246,7,-0.564908504486084,392,0.07689594477415085,0.91
0.0003,1184,9373,11.3,0.43973493576049805,-10.39,-4.808750629425049,9272,7,-0.26413288712501526,396,0.07644815742969513,0.91
0.0003,1187,9405,10.82,0.2953023314476013,-9.9,-4.614957809448242,9304,7,-0.5827887654304504,400,0.07589956372976303,0.92
0.0003,1193,9477,10.89,0.21912741661071777,-9.97,-4.637295722961426,9376,7,-0.02356744557619095,404,0.07469168305397034,0.92
0.0003,1198,9545,11.0,0.21101617813110352,-10.09,-4.792757034301758,9444,7,0.10412698984146118,408,0.07358457148075104,0.91
0.0003,1202,9610,11.43,0.2674046456813812,-10.53,-5.386477470397949,9509,7,-0.12243087589740753,412,0.07250741869211197,0.9
0.0003,1204,9633,11.03,0.22603739798069,-10.13,-3.896294355392456,9532,7,-0.18532198667526245,416,0.07212656736373901,0.9
0.0003,1208,9692,11.44,0.27453112602233887,-10.55,-5.064166069030762,9591,8,0.22073015570640564,420,0.07119029015302658,0.89
0.0003,1211,9714,10.95,0.26286953687667847,-10.05,-4.319392204284668,9613,8,0.234982430934906,424,0.07084845751523972,0.9
0.0003,1224,9780,10.56,0.26790252327919006,-9.65,-4.078220367431641,9679,7,0.22584976255893707,428,0.06983739882707596,0.91
0.0003,1226,9802,10.03,0.2675001323223114,-9.11,-5.1666412353515625,9701,7,0.027796752750873566,432,0.06950569897890091,0.92
0.0003,1229,9838,10.05,0.2760334014892578,-9.13,-4.626670837402344,9737,7,-0.27312159538269043,436,0.0689563974738121,0.92
0.0003,1236,9907,10.56,0.2704959511756897,-9.65,-4.809534072875977,9806,8,0.13148826360702515,440,0.06792984902858734,0.91
