time/total_timesteps,train/n_updates,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/time_elapsed
3987,3886,1.0,5,-0.45187621,4.49,0.14044877886772156,0.00032428160193376243,420,0.001,667
4055,3954,0.99,5,-0.49599024999999997,5.01,0.15004494786262512,0.00038892056909389794,424,0.001,677
4069,3968,0.99,5,-0.49410985,5.0,0.16080555319786072,0.00037256322684697807,428,0.001,680
4090,3989,0.99,5,-0.4988043,5.0,0.20872832834720612,0.0003434622776694596,432,0.001,684
4100,3999,0.99,5,-0.47685893,4.8,0.21369823813438416,0.00039735756581649184,436,0.001,686
4120,4019,0.99,5,-0.4895918,4.88,0.14931219816207886,0.0003144408983644098,440,0.001,688
4137,4036,0.99,5,-0.4891969100000001,4.88,0.14936509728431702,0.0003049630031455308,444,0.001,691
4158,4057,0.99,5,-0.488546,4.91,0.21767301857471466,0.0004678163677453995,448,0.001,695
4178,4077,0.99,5,-0.48872648999999996,4.94,0.1333685964345932,0.0003528974484652281,452,0.001,698
4191,4090,0.99,5,-0.47455409,4.83,0.11763516068458557,0.00029331029509194195,456,0.001,700
4204,4103,0.99,5,-0.4727952199999999,4.83,0.14548203349113464,0.0002733338042162359,460,0.001,701
4226,4125,0.99,5,-0.47820015000000005,4.87,0.1810036152601242,0.00022856610303279012,464,0.001,705
4252,4151,0.99,5,-0.4909428400000001,4.94,0.11129628121852875,0.0003003579331561923,468,0.001,708
4266,4165,0.99,6,-0.47845430000000005,4.85,0.16638654470443726,0.00026679172879084945,472,0.001,710
4283,4182,0.99,6,-0.48182972,4.85,0.17006085813045502,0.00033989688381552696,476,0.001,712
4296,4195,0.99,6,-0.47043575000000004,4.76,0.17434558272361755,0.00031187222339212894,480,0.001,714
4318,4217,0.99,6,-0.48292436,4.86,0.1076524406671524,0.0002493227366358042,484,0.001,718
4341,4240,0.99,6,-0.4902354099999999,4.9,0.17506161332130432,0.00023265219351742417,488,0.001,721
4366,4265,0.99,6,-0.50392916,5.02,0.17790813744068146,0.00021816584921907634,492,0.001,724
4382,4281,0.99,6,-0.49369573,4.96,0.1906694918870926,0.0003039617440663278,496,0.001,727
4398,4297,0.99,6,-0.4935771,4.97,0.16536299884319305,0.0002501089184079319,500,0.001,729
4414,4313,0.99,6,-0.4882169300000001,4.94,0.18922059237957,0.00021788531739730388,504,0.001,731
4432,4331,0.99,6,-0.48450744999999995,4.94,0.1884947121143341,0.0005088150501251221,508,0.001,733
4447,4346,0.99,6,-0.48000797,4.91,0.1421646773815155,0.00020816343021579087,512,0.001,734
4458,4357,0.99,6,-0.47582841000000003,4.88,0.1547083854675293,0.0002947963075712323,516,0.001,736
4481,4380,0.99,6,-0.4820097299999999,4.94,0.11588359624147415,0.0002789408608805388,520,0.001,739
4500,4399,1.0,6,-0.4406830700000001,4.45,0.1582397222518921,0.0004129466542508453,524,0.001,741
4533,4432,1.0,6,-0.45698797999999996,4.64,0.11027300357818604,0.0004361258470453322,528,0.001,746
